,Unnamed: 0,Accident_Index,longitude,latitude,Time,Speed_limit,Date
0,0,1.0,78.61039332,14.72402585,17:42:00,30.0,04-01-2018
1,1,2.0,78.53404158,14.76235346,17:36:00,30.0,05-01-2018
2,2,3.0,78.47087739,14.74560635,00:15:00,30.0,06-01-2018
3,3,4.0,78.55799399,14.66712796,10:35:00,30.0,07-01-2018
4,4,5.0,78.57643143,14.70344275,21:13:00,30.0,10-01-2018
5,5,6.0,78.53105133,14.73735895,12:40:00,30.0,11-01-2018
6,6,7.0,78.51672417,14.77949108,20:40:00,30.0,13-01-2018
7,7,8.0,78.57055271,14.74135682,17:35:00,30.0,14-01-2018
8,8,9.0,78.51020892,14.67901549,22:43:00,30.0,15-01-2018
9,9,10.0,78.56704157,14.7992631,16:00:00,30.0,15-01-2018
10,10,11.0,78.63085265,14.80453592,00:42:00,30.0,16-01-2018
11,11,12.0,78.56039757,14.72807038,20:48:00,30.0,25-01-2018
12,12,13.0,78.54800398,14.73695141,12:55:00,30.0,11-01-2018
13,13,14.0,78.51510124,14.78661225,05:01:00,30.0,18-01-2018
14,14,15.0,78.54884501,14.76177454,11:15:00,30.0,18-01-2018
15,15,16.0,78.62517787,14.79778677,10:50:00,30.0,18-01-2018
16,16,17.0,78.6056363,14.75023732,00:15:00,30.0,20-01-2018
17,17,18.0,78.48561567,14.67274885,09:15:00,30.0,21-01-2018
18,18,19.0,78.59611776,14.76982921,21:16:00,30.0,21-01-2018
19,19,20.0,78.61996151,14.72219681,03:00:00,30.0,08-01-2018
20,20,21.0,78.57722074,14.68993894,21:45:00,30.0,24-01-2018
21,21,22.0,78.60244576,14.78535045,17:05:00,30.0,24-01-2018
22,22,23.0,78.64223571,14.6911247,21:30:00,30.0,24-01-2018
23,23,24.0,78.63018181,14.684316,17:25:00,30.0,18-01-2018
24,24,25.0,78.61960304,14.7120892,07:34:00,30.0,29-01-2018
25,25,26.0,78.51960607,14.74996632,16:35:00,30.0,19-01-2018
26,26,27.0,78.54789008,14.75608546,20:00:00,30.0,30-01-2018
27,27,28.0,78.48281105,14.76917912,13:15:00,30.0,29-01-2018
28,28,29.0,78.48775217,14.76713783,18:20:00,30.0,01-02-2018
29,29,30.0,78.62494181,14.66271495,07:25:00,30.0,02-02-2018
30,30,31.0,78.63752981,14.71344373,17:30:00,30.0,01-02-2018
31,31,32.0,78.50776956,14.75667091,12:30:00,30.0,03-02-2018
32,32,33.0,78.59392551,14.77905066,09:55:00,30.0,12-02-2018
33,33,34.0,78.53039236,14.71063037,13:00:00,30.0,03-02-2018
34,34,35.0,78.47719655,14.69047677,13:02:00,30.0,01-02-2018
35,35,36.0,78.48284431,14.75576239,22:55:00,30.0,03-02-2018
36,36,37.0,78.48314791,14.65934691,17:30:00,30.0,03-02-2018
37,37,38.0,78.57127371,14.72357252,15:00:00,30.0,06-02-2018
38,38,39.0,78.60569287,14.77430844,21:25:00,30.0,05-02-2018
39,39,40.0,78.59067344,14.74691279,12:41:00,30.0,03-02-2018
40,40,41.0,78.54745023,14.72881119,23:35:00,30.0,04-02-2018
41,41,42.0,78.50725209,14.74086665,09:15:00,30.0,07-02-2018
42,42,43.0,78.53432983,14.71956458,13:25:00,30.0,12-02-2018
43,43,44.0,78.55225769,14.75605991,20:00:00,30.0,08-02-2018
44,44,45.0,78.47752203,14.65886224,08:20:00,30.0,16-02-2018
45,45,46.0,78.5168018,14.72059903,11:30:00,30.0,07-02-2018
46,46,47.0,78.54244314,14.8042425,18:10:00,30.0,10-02-2018
47,47,48.0,78.48020864,14.70004009,11:33:00,30.0,12-02-2018
48,48,49.0,78.63411999,14.65696462,20:05:00,30.0,13-02-2018
49,49,50.0,78.51191085,14.66926643,16:44:00,30.0,01-02-2018
50,50,51.0,78.51845236,14.7951293,18:00:00,30.0,17-02-2018
51,51,52.0,78.63335076,14.71925762,10:15:00,30.0,04-02-2018
52,52,53.0,78.63917889,14.79691544,18:15:00,30.0,15-02-2018
53,53,54.0,78.55732153,14.75235597,10:35:00,30.0,16-02-2018
54,54,55.0,78.5178633,14.72475233,17:36:00,30.0,18-02-2018
55,55,56.0,78.56840811,14.71223295,16:05:00,30.0,15-02-2018
56,56,57.0,78.48648092,14.7668848,13:56:00,30.0,10-02-2018
57,57,58.0,78.5896443,14.74396476,14:10:00,30.0,16-02-2018
58,58,59.0,78.56578701,14.74663423,10:10:00,30.0,21-02-2018
59,59,60.0,78.59949243,14.79266069,14:50:00,30.0,20-02-2018
60,60,61.0,78.5428864,14.74747202,14:43:00,30.0,22-02-2018
61,61,62.0,78.51649786,14.71827284,17:20:00,30.0,21-02-2018
62,62,63.0,78.58783427,14.79753447,12:40:00,30.0,20-02-2018
63,63,64.0,78.50462661,14.74186473,13:55:00,30.0,20-02-2018
64,64,65.0,78.50372105,14.67450274,22:25:00,30.0,26-02-2018
65,65,66.0,78.53697377,14.72235024,18:14:00,30.0,28-02-2018
66,66,67.0,78.60142027,14.6920907,16:30:00,30.0,24-02-2018
67,67,68.0,78.51914542,14.65809725,19:00:00,30.0,01-03-2018
68,68,69.0,78.51682898,14.7622116,17:13:00,30.0,23-02-2018
69,69,70.0,78.5874902,14.65829601,17:00:00,30.0,26-02-2018
70,70,71.0,78.63977968,14.75147928,09:15:00,30.0,24-02-2018
71,71,72.0,78.49362006,14.70929212,00:11:00,30.0,25-02-2018
72,72,73.0,78.50978723,14.70005993,19:00:00,30.0,23-02-2018
73,73,74.0,78.59567646,14.78371437,01:48:00,30.0,26-02-2018
74,74,75.0,78.54136949,14.79076767,07:58:00,30.0,23-02-2018
75,75,76.0,78.57581983,14.76767886,14:55:00,30.0,25-02-2018
76,76,77.0,78.50021904,14.69646545,08:22:00,30.0,25-02-2018
77,77,78.0,78.60265286,14.67691971,04:38:00,30.0,25-02-2018
78,78,79.0,78.50214131,14.75677954,13:20:00,30.0,04-03-2018
